"path","relative_path","name","extension","bytes","last_write_time","classification","lane","lineage_hint","sha256"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\claude_to_gemini.json",".ai\handoffs\claude_to_gemini.json","claude_to_gemini.json",".json","2345","2026-05-01T06:08:55","REVIEW","DCSE-CP","Root project/source lineage","44C1F35FFF3D19225216640ACCC9EC16BF9338C63FA8937813DDB96548136229"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\codex_to_claude.json",".ai\handoffs\codex_to_claude.json","codex_to_claude.json",".json","1982","2026-05-01T05:53:10","REVIEW","DCSE-CP","Root project/source lineage","183E3C1B26F874F395C1946C7E2F3224C185B45F775C9DC3C163F08DA454AC8B"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\gemini_to_dcs.json",".ai\handoffs\gemini_to_dcs.json","gemini_to_dcs.json",".json","1891","2026-05-01T06:41:41","REVIEW","DCSE-CP","Root project/source lineage","8CE539B38DE4D6569931EA9CC77CBD98FBA0681AF3A4A293B40C0EAFFEB8BD28"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\phase2a_to_dcs.json",".ai\handoffs\phase2a_to_dcs.json","phase2a_to_dcs.json",".json","1965","2026-05-01T06:54:22","REVIEW","DCSE-CP","Prior staged review/artifact lineage","A1ADCA16C91D6B1674E72F84420F000F090C54A03AACE0DD9468858EDBB1C2F3"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\phase2a1_to_dcs.json",".ai\handoffs\phase2a1_to_dcs.json","phase2a1_to_dcs.json",".json","1738","2026-05-01T07:03:11","REVIEW","DCSE-CP","Prior staged review/artifact lineage","E324C3BA567D16EEDE362841AF85C3E610C125FD661FDAEF36CACC402F3A42AE"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\db-schema-sql\SKILL.md",".ai\skills\db-schema-sql\SKILL.md","SKILL.md",".md","827","2026-05-01T04:47:09","REVIEW","DCSE-SS/SC","Root project/source lineage","4A16F0195BD60D505147B8F73E03AC2FACF4640798EA8DDC2756D21B36232A6C"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\DCSE_v6_7_X_MASTER_ADDENDUM.md",".ai\skills\DCSE_v6_7_X_MASTER_ADDENDUM.md","DCSE_v6_7_X_MASTER_ADDENDUM.md",".md","3741","2026-05-01T04:47:08","REVIEW","DCSE-CP","Root project/source lineage","187BB51F1FBDD170027881F72CAC4D02614C53C1795A1D19207ACC51AF61DCF6"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcse-governance\DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md",".ai\skills\dcse-governance\DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md","DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md",".md","14879","2026-05-26T13:53:31","SUPERSEDED","DCSE-SS/SC","Root project/source lineage","32C136911F76275285B98B1653B00C9D777820A5C4DA4098CC2112D59A2EA332"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcse-governance\SKILL.md",".ai\skills\dcse-governance\SKILL.md","SKILL.md",".md","1133","2026-05-01T04:47:09","REVIEW","DCSE-CP","Root project/source lineage","31DD00DB2E0742E7D2D7B5CE95CE0F051183A7507D6F98AAA495044438FA8236"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcs-voice\SKILL.md",".ai\skills\dcs-voice\SKILL.md","SKILL.md",".md","977","2026-05-01T04:47:08","REVIEW","DCSE-CP","Root project/source lineage","D40B4484ADC3C378164B8E22443207138E95CE91FBBB003CE9F97A905EBF9FA9"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\media-production\SKILL.md",".ai\skills\media-production\SKILL.md","SKILL.md",".md","859","2026-05-01T04:47:10","REVIEW","DCSE-CP","Root project/source lineage","C4F70C4DB16763C542ADA8E17E084E5F26EFDAF15A9C26EB626101300DDB1170"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\MODEL_CONFIGURATION_GUIDE.md",".ai\skills\MODEL_CONFIGURATION_GUIDE.md","MODEL_CONFIGURATION_GUIDE.md",".md","3819","2026-05-01T04:47:08","REVIEW","DCSE-CP","Root project/source lineage","58056309E7C79F5B0BCAABBCC53397611F8260621404636F3664A75664C21AF7"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\product-dev-rdp\SKILL.md",".ai\skills\product-dev-rdp\SKILL.md","SKILL.md",".md","894","2026-05-01T04:47:09","REVIEW","DCSE-CP","Root project/source lineage","1CC16145CDBEAB3B87CA31988F51969847D5A8DBBFC9E0D021A6C6E7F676538A"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\ps-dart-governance\SKILL.md",".ai\skills\ps-dart-governance\SKILL.md","SKILL.md",".md","1055","2026-05-01T04:47:09","ARCHIVE","PS","Root project/source lineage","E3781037F2F381F9F69459C478F9FA549AE6A9978340961D1F00F1C469DF394D"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\sc-strategy\SKILL.md",".ai\skills\sc-strategy\SKILL.md","SKILL.md",".md","982","2026-05-01T04:47:09","REVIEW","DCSE-SS/SC","Root project/source lineage","F665BE4B7219E5174703B203EA5EDCCB97E2C00CD3B9EEFED37AF163A3F39C09"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\SKILL_REGISTRY.md",".ai\skills\SKILL_REGISTRY.md","SKILL_REGISTRY.md",".md","2302","2026-05-01T04:47:08","REVIEW","DCSE-CP","Root project/source lineage","193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\ss-creative\SKILL.md",".ai\skills\ss-creative\SKILL.md","SKILL.md",".md","944","2026-05-01T04:47:09","REVIEW","DCSE-SS/SC","Root project/source lineage","C1D29D321B0B8E87DEAA1FB029A2E1225D0B5212D6DE0C9D2CC0BBEE97B2C59C"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\ti-legal-education\SKILL.md",".ai\skills\ti-legal-education\SKILL.md","SKILL.md",".md","875","2026-05-01T04:47:09","REVIEW","DCSE-CP","Root project/source lineage","BB38142B1E19F417C08D8DA24486E84041159EEDB2D170AA98B9933FD3299D07"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\vector-memory\SKILL.md",".ai\skills\vector-memory\SKILL.md","SKILL.md",".md","1250","2026-05-01T04:47:09","REVIEW","DCSE-CP","Root project/source lineage","BF6BB167E3DA0B64FD3181EAF0149CA78280870F0365103AF9C7D8F999ACB7BD"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\wix-asset-mcp\SKILL.md",".ai\skills\wix-asset-mcp\SKILL.md","SKILL.md",".md","999","2026-05-01T04:47:09","REVIEW","DCSE-SS/SC","Root project/source lineage","185F6C887426409936C58521B1703F7688B2B48FAF56C280F2D9A9D4CA6978F3"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\chatgpt-orchestrator-prompt.md",".ai\system-prompts\chatgpt-orchestrator-prompt.md","chatgpt-orchestrator-prompt.md",".md","985","2026-05-01T05:51:15","REVIEW","DCSE-CP","Root project/source lineage","8814BD87AFD801A83BD2FA9AA0ABAAAC5BAD71B30F6561EBABF330E7B7DBEA94"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\claude-cto-prompt.md",".ai\system-prompts\claude-cto-prompt.md","claude-cto-prompt.md",".md","1051","2026-05-01T05:51:15","REVIEW","DCSE-CP","Root project/source lineage","A033E8BE8DBB1A91F0A03DBF1496E6F829104F5FB5EFB6BD65AD16FCD8B9CF90"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\gemini-auditor-prompt.md",".ai\system-prompts\gemini-auditor-prompt.md","gemini-auditor-prompt.md",".md","1053","2026-05-01T05:51:15","REVIEW","DCSE-CP","Root project/source lineage","62915AACAF47D036114831F1022408B01931FC7B7BE1FAB9D76CE0616A0A5663"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\qwen-continuity-prompt.md",".ai\system-prompts\qwen-continuity-prompt.md","qwen-continuity-prompt.md",".md","1000","2026-05-01T05:51:15","REVIEW","DCSE-CP","Root project/source lineage","6A227A8EED19CAA0C6C27EE77667F1B9019D6C70DAE4C80039936C8BE0C8E55E"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\TRIGGER_HANDOFF_PROTOCOL.md",".ai\TRIGGER_HANDOFF_PROTOCOL.md","TRIGGER_HANDOFF_PROTOCOL.md",".md","3887","2026-05-01T06:29:46","REVIEW","DCSE-CP","Root project/source lineage","67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\001_codex_prime_complete.trigger.json",".ai\triggers\001_codex_prime_complete.trigger.json","001_codex_prime_complete.trigger.json",".json","1066","2026-05-01T06:30:40","REVIEW","DCSE-CP","Root project/source lineage","F0A977092DD439566745DB0ABF0A327F8E18E1D082170C64BF91D89FF8C5E2DE"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\002_claude_cto_review_required.trigger.json",".ai\triggers\002_claude_cto_review_required.trigger.json","002_claude_cto_review_required.trigger.json",".json","1802","2026-05-01T06:30:40","REVIEW","DCSE-CP","Prior staged review/artifact lineage","BCD04A0E2E2D8DCD7370DCE7F5FA83091EF56E297D7894A047CCA03B7EEE3257"
