"source_path","destination_path","action","gate","rationale"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\claude_to_gemini.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00001_DCSE_CP_claude_to_gemini.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\codex_to_claude.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00002_DCSE_CP_codex_to_claude.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\gemini_to_dcs.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00003_DCSE_CP_gemini_to_dcs.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\phase2a_to_dcs.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00004_DCSE_CP_phase2a_to_dcs.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\handoffs\phase2a1_to_dcs.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00005_DCSE_CP_phase2a1_to_dcs.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\db-schema-sql\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00006_DCSE_SS_SC_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\DCSE_v6_7_X_MASTER_ADDENDUM.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00007_DCSE_CP_DCSE_v6_7_X_MASTER_ADDENDUM.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcse-governance\DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\SUPERSEDED\SUPERSEDED_00008_DCSE_SS_SC_DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcse-governance\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00009_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\dcs-voice\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00010_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\media-production\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00011_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\MODEL_CONFIGURATION_GUIDE.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00012_DCSE_CP_MODEL_CONFIGURATION_GUIDE.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\product-dev-rdp\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00013_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\sc-strategy\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00014_DCSE_SS_SC_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\SKILL_REGISTRY.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00015_DCSE_CP_SKILL_REGISTRY.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\ss-creative\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00016_DCSE_SS_SC_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\ti-legal-education\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00017_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\vector-memory\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00018_DCSE_CP_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\wix-asset-mcp\SKILL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00019_DCSE_SS_SC_SKILL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\chatgpt-orchestrator-prompt.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00020_DCSE_CP_chatgpt_orchestrator_prompt.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\claude-cto-prompt.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00021_DCSE_CP_claude_cto_prompt.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\gemini-auditor-prompt.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00022_DCSE_CP_gemini_auditor_prompt.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\system-prompts\qwen-continuity-prompt.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00023_DCSE_CP_qwen_continuity_prompt.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\TRIGGER_HANDOFF_PROTOCOL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00024_DCSE_CP_TRIGGER_HANDOFF_PROTOCOL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\001_codex_prime_complete.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00025_DCSE_CP_001_codex_prime_complete_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\002_claude_cto_review_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00026_DCSE_CP_002_claude_cto_review_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\003_gemini_audit_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00027_DCSE_CP_003_gemini_audit_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\004_dcs_authorization_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00028_DCSE_CP_004_dcs_authorization_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\005_governance_stop_gate_patch_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00029_DCSE_CP_005_governance_stop_gate_patch_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\006_controlled_execution_plan_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00030_DCSE_CP_006_controlled_execution_plan_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\006_phase2a_vector_schema_test_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00031_DCSE_SS_SC_006_phase2a_vector_schema_test_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\007_dcs_phase2b_authorization_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00032_DCSE_CP_007_dcs_phase2b_authorization_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\007a_vector_runtime_validation_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00033_DCSE_CP_007a_vector_runtime_validation_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Root project/source lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\008_dcs_phase2b_authorization_required.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00034_DCSE_CP_008_dcs_phase2b_authorization_required_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\claude_project_lane_leakage_review.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00035_DCSE_CP_claude_project_lane_leakage_review_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\knowledge_source_lane_leakage_review.trigger.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00036_DCSE_CP_knowledge_source_lane_leakage_review_trigger.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_local_candidate_search.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00037_DCSE_CP_phase2a_local_candidate_search.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\01_schema.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00038_DCSE_SS_SC_01_schema.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\02_insert_sources.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00039_DCSE_CP_02_insert_sources.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\03_verify_sources.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00040_DCSE_CP_03_verify_sources.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\01_create_kb_sources.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00041_DCSE_CP_01_create_kb_sources.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
