"relative_path","classification","lane","lineage_hint","bytes","last_write_time","sha256"
".ai\handoffs\claude_to_gemini.json","REVIEW","DCSE-CP","Root project/source lineage","2345","2026-05-01T06:08:55","44C1F35FFF3D19225216640ACCC9EC16BF9338C63FA8937813DDB96548136229"
".ai\handoffs\codex_to_claude.json","REVIEW","DCSE-CP","Root project/source lineage","1982","2026-05-01T05:53:10","183E3C1B26F874F395C1946C7E2F3224C185B45F775C9DC3C163F08DA454AC8B"
".ai\handoffs\gemini_to_dcs.json","REVIEW","DCSE-CP","Root project/source lineage","1891","2026-05-01T06:41:41","8CE539B38DE4D6569931EA9CC77CBD98FBA0681AF3A4A293B40C0EAFFEB8BD28"
".ai\handoffs\phase2a_to_dcs.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1965","2026-05-01T06:54:22","A1ADCA16C91D6B1674E72F84420F000F090C54A03AACE0DD9468858EDBB1C2F3"
".ai\handoffs\phase2a1_to_dcs.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1738","2026-05-01T07:03:11","E324C3BA567D16EEDE362841AF85C3E610C125FD661FDAEF36CACC402F3A42AE"
".ai\skills\db-schema-sql\SKILL.md","REVIEW","DCSE-SS/SC","Root project/source lineage","827","2026-05-01T04:47:09","4A16F0195BD60D505147B8F73E03AC2FACF4640798EA8DDC2756D21B36232A6C"
".ai\skills\DCSE_v6_7_X_MASTER_ADDENDUM.md","REVIEW","DCSE-CP","Root project/source lineage","3741","2026-05-01T04:47:08","187BB51F1FBDD170027881F72CAC4D02614C53C1795A1D19207ACC51AF61DCF6"
".ai\skills\dcse-governance\DCSE_SKILL_Asset_Detection_Supabase_Insert_Preparation_v1.md","SUPERSEDED","DCSE-SS/SC","Root project/source lineage","14879","2026-05-26T13:53:31","32C136911F76275285B98B1653B00C9D777820A5C4DA4098CC2112D59A2EA332"
".ai\skills\dcse-governance\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","1133","2026-05-01T04:47:09","31DD00DB2E0742E7D2D7B5CE95CE0F051183A7507D6F98AAA495044438FA8236"
".ai\skills\dcs-voice\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","977","2026-05-01T04:47:08","D40B4484ADC3C378164B8E22443207138E95CE91FBBB003CE9F97A905EBF9FA9"
".ai\skills\media-production\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","859","2026-05-01T04:47:10","C4F70C4DB16763C542ADA8E17E084E5F26EFDAF15A9C26EB626101300DDB1170"
".ai\skills\MODEL_CONFIGURATION_GUIDE.md","REVIEW","DCSE-CP","Root project/source lineage","3819","2026-05-01T04:47:08","58056309E7C79F5B0BCAABBCC53397611F8260621404636F3664A75664C21AF7"
".ai\skills\product-dev-rdp\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","894","2026-05-01T04:47:09","1CC16145CDBEAB3B87CA31988F51969847D5A8DBBFC9E0D021A6C6E7F676538A"
".ai\skills\ps-dart-governance\SKILL.md","ARCHIVE","PS","Root project/source lineage","1055","2026-05-01T04:47:09","E3781037F2F381F9F69459C478F9FA549AE6A9978340961D1F00F1C469DF394D"
".ai\skills\sc-strategy\SKILL.md","REVIEW","DCSE-SS/SC","Root project/source lineage","982","2026-05-01T04:47:09","F665BE4B7219E5174703B203EA5EDCCB97E2C00CD3B9EEFED37AF163A3F39C09"
".ai\skills\SKILL_REGISTRY.md","REVIEW","DCSE-CP","Root project/source lineage","2302","2026-05-01T04:47:08","193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2"
".ai\skills\ss-creative\SKILL.md","REVIEW","DCSE-SS/SC","Root project/source lineage","944","2026-05-01T04:47:09","C1D29D321B0B8E87DEAA1FB029A2E1225D0B5212D6DE0C9D2CC0BBEE97B2C59C"
".ai\skills\ti-legal-education\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","875","2026-05-01T04:47:09","BB38142B1E19F417C08D8DA24486E84041159EEDB2D170AA98B9933FD3299D07"
".ai\skills\vector-memory\SKILL.md","REVIEW","DCSE-CP","Root project/source lineage","1250","2026-05-01T04:47:09","BF6BB167E3DA0B64FD3181EAF0149CA78280870F0365103AF9C7D8F999ACB7BD"
".ai\skills\wix-asset-mcp\SKILL.md","REVIEW","DCSE-SS/SC","Root project/source lineage","999","2026-05-01T04:47:09","185F6C887426409936C58521B1703F7688B2B48FAF56C280F2D9A9D4CA6978F3"
".ai\system-prompts\chatgpt-orchestrator-prompt.md","REVIEW","DCSE-CP","Root project/source lineage","985","2026-05-01T05:51:15","8814BD87AFD801A83BD2FA9AA0ABAAAC5BAD71B30F6561EBABF330E7B7DBEA94"
".ai\system-prompts\claude-cto-prompt.md","REVIEW","DCSE-CP","Root project/source lineage","1051","2026-05-01T05:51:15","A033E8BE8DBB1A91F0A03DBF1496E6F829104F5FB5EFB6BD65AD16FCD8B9CF90"
".ai\system-prompts\gemini-auditor-prompt.md","REVIEW","DCSE-CP","Root project/source lineage","1053","2026-05-01T05:51:15","62915AACAF47D036114831F1022408B01931FC7B7BE1FAB9D76CE0616A0A5663"
".ai\system-prompts\qwen-continuity-prompt.md","REVIEW","DCSE-CP","Root project/source lineage","1000","2026-05-01T05:51:15","6A227A8EED19CAA0C6C27EE77667F1B9019D6C70DAE4C80039936C8BE0C8E55E"
".ai\TRIGGER_HANDOFF_PROTOCOL.md","REVIEW","DCSE-CP","Root project/source lineage","3887","2026-05-01T06:29:46","67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8"
".ai\triggers\001_codex_prime_complete.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","1066","2026-05-01T06:30:40","F0A977092DD439566745DB0ABF0A327F8E18E1D082170C64BF91D89FF8C5E2DE"
".ai\triggers\002_claude_cto_review_required.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1802","2026-05-01T06:30:40","BCD04A0E2E2D8DCD7370DCE7F5FA83091EF56E297D7894A047CCA03B7EEE3257"
".ai\triggers\003_gemini_audit_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","2264","2026-05-01T06:41:41","3D2F36CCA888A13338EBDAD5E544A48FF3D19839D7DCBC80836C0164F1EA6BFB"
".ai\triggers\004_dcs_authorization_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","4124","2026-05-01T06:50:38","76CC5E684D03B6556F3B3556AAF298A132C789AD44C555676DA731EAB4361BD1"
".ai\triggers\005_governance_stop_gate_patch_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","2065","2026-05-01T06:40:32","81AD4A2FEEC03CB0B17383C1597E9F76E2735436395CD3A428AB4F5A327AFEE4"
".ai\triggers\006_controlled_execution_plan_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","1673","2026-05-11T23:39:48","B50012EB48D1542216906549EA78CAA5C1CDB6C94A442560E000498B0C0DC5A2"
".ai\triggers\006_phase2a_vector_schema_test_required.trigger.json","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","5165","2026-05-01T06:54:41","0E07DCCEC7634B08A398F70C74C067FF5B31A53C162F8F55BC95814566A05127"
".ai\triggers\007_dcs_phase2b_authorization_required.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1792","2026-05-01T06:58:27","CA439429D576068A35A95E4929264A86D2B50833FB835583715EB0E5FD1E2AD8"
".ai\triggers\007a_vector_runtime_validation_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","5456","2026-05-01T07:05:13","3C91629FA0BB98389CFE22A59EB94D1396A483BE7D148E3CF117505FFF77AA56"
".ai\triggers\008_dcs_phase2b_authorization_required.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1846","2026-05-01T07:05:13","075FCA466AEBD98120EC3B0373138BFA01E18CAE70C88083C64D12FC0CCC8DC7"
".ai\triggers\claude_project_lane_leakage_review.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","698","2026-05-07T15:17:53","0F479C4476D55E9BE7E4CF8AC10AD361D02E4DFACE593EB03F5AC1EBA66BB177"
".ai\triggers\knowledge_source_lane_leakage_review.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","862","2026-05-07T15:41:03","0C7C0AA851EF5961B68BCA7C027D64738550FDB685A03815A7995359E2DCE6E3"
".env","SUPPORT","DCSE-CP","Root project/source lineage","433","2026-06-01T14:11:13","968734CF9058F59C756168BF161D6D3F0BB5410DAEE48DEFF823DCCE44648CBA"
".env.example","SUPPORT","DCSE-CP","Root project/source lineage","821","2026-05-30T16:12:40","D8E639FA53C699624D8AE3F2DD7626E578CC57C4CE36BBFB33F927C55B5328DA"
".gitignore","SUPPORT","DCSE-CP","Root project/source lineage","146","2026-05-01T05:29:47","4D53F6C8D9692EC110D0E9840EF8B07911CD3A43B9DA8351F755F87AC1A8F9E2"
"artifacts\phase2a_local_candidate_search.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","126139","2026-05-11T17:01:33","36DDDE1B24C42DB6FEDC31D4C3AC4FA14251C6FD70FD78BA7016C84B98E4CDFA"
"artifacts\phase2a_manual_supabase_execution_packet\01_schema.sql","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","2852","2026-05-11T21:25:13","4A4D7BC794379D2F8DBC2C524C14AF3B797FE0D9F6E7B396945C74BB775A4764"
"artifacts\phase2a_manual_supabase_execution_packet\02_insert_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3830","2026-05-11T21:25:23","CFEB8ADA26BD04DAE57536D33C8F4A17D5B59644AB5D280E1E803C4CA58DF3AF"
"artifacts\phase2a_manual_supabase_execution_packet\03_verify_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1971","2026-05-11T21:25:27","6307ABBBA2350AB8CF731436630B4401C1E384BA2459161555326CE35418AD13"
"artifacts\phase2a_manual_supabase_execution_packet_v2\01_create_kb_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2387","2026-05-11T22:05:18","9A9D86F2C9C61098B200679DFEA13709D02C9E0056335E6693E7715CE813F531"
