"path","bytes","sha256","classification","lineage","duplicate_group","proposed_name","proposed_destination","disposition"
".gitignore","33","10AA9D50C7E9BBB804E88879EACC18AECF56EA0CE93348CB35D3E1D953489CB9","SUPPORT","origin/main baseline","",".gitignore",".gitignore","PRESERVE_IN_PLACE"
".gitkeep","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","SUPPORT","origin/main baseline","",".gitkeep",".gitkeep","PRESERVE_IN_PLACE"
"_Public_Builds/MVT006_RAG_TO_HTML_20260708/MVT006_RAG_TO_HTML_PUBLIC_MANIFEST_20260708.json","1119","64DA8F58BA0E940FD035FBE358C2BD14D637727347C243134D1CE919DA12BEFD","FINAL","origin/main baseline","","MVT006_RAG_TO_HTML_PUBLIC_MANIFEST_20260708.json","_Public_Builds/MVT006_RAG_TO_HTML_20260708/MVT006_RAG_TO_HTML_PUBLIC_MANIFEST_20260708.json","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT006_RAG_TO_HTML_20260708/MVT006_RAG_TO_HTML_PUBLIC_PROOF_20260708.html","5722","D41312782451ED9FBF5BDEAF8F97BCB45B4BEEAAA6DED77EE92F3D04A2FCB391","FINAL","origin/main baseline","","MVT006_RAG_TO_HTML_PUBLIC_PROOF_20260708.html","_Public_Builds/MVT006_RAG_TO_HTML_20260708/MVT006_RAG_TO_HTML_PUBLIC_PROOF_20260708.html","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT006_RAG_TO_HTML_20260708/README.md","3221","98CED8C845ED726A1C61C9FE35694C39F1700A6B36261F8D69BEFA481FD8B8D2","FINAL","origin/main baseline","","README.md","_Public_Builds/MVT006_RAG_TO_HTML_20260708/README.md","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT006_RAG_TO_HTML_20260708/TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUBLIC_PUSH.json","697","66E4B97DF1B0E73207BBC542EC6ABC8B86D4751337CA269D537E85E8743A342A","FINAL","origin/main baseline","","TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUBLIC_PUSH.json","_Public_Builds/MVT006_RAG_TO_HTML_20260708/TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUBLIC_PUSH.json","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT006_RAG_TO_HTML_20260708/TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUSH_COMPLETE.json","985","1A9000C0E2F743450E8E517A4A037D12B34DD87A728217D9E7D531B31FD0CCDD","FINAL","origin/main baseline","","TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUSH_COMPLETE.json","_Public_Builds/MVT006_RAG_TO_HTML_20260708/TRIBUNAL_20260708_MVT006_RAG_TO_HTML_GITHUB_PUSH_COMPLETE.json","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/MVT007_AGENT_ORCHESTRATION_LAYER_MANIFEST_20260708.json","1236","D0EF5E4D117DD8D4D4685CDD1BBDC9095B44A4723ADC2DACACC34F7E560E27BA","FINAL","origin/main baseline","","MVT007_AGENT_ORCHESTRATION_LAYER_MANIFEST_20260708.json","_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/MVT007_AGENT_ORCHESTRATION_LAYER_MANIFEST_20260708.json","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/MVT007_AGENT_ORCHESTRATION_PUBLIC_PROOF_20260708.html","4263","D682BC357746A398C8B77F0FF585F00A8DD329671624F1B0C156362B53F4AF41","FINAL","origin/main baseline","","MVT007_AGENT_ORCHESTRATION_PUBLIC_PROOF_20260708.html","_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/MVT007_AGENT_ORCHESTRATION_PUBLIC_PROOF_20260708.html","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/README.md","3278","80E927F6B24B9E2C55500AC3566FB2546E171A9E15BF75B826EFC83FA27981AB","FINAL","origin/main baseline","","README.md","_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/README.md","PRESERVE_IN_PLACE; immutable"
"_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/TRIBUNAL_20260708_MVT007_AGENT_ORCHESTRATION_LAYER.json","807","095EC7DFE8288A81FD73C98062745851D54F260039100E4E3EEC9E4F17956FC0","FINAL","origin/main baseline","","TRIBUNAL_20260708_MVT007_AGENT_ORCHESTRATION_LAYER.json","_Public_Builds/MVT007_AGENT_ORCHESTRATION_LAYER_20260708/TRIBUNAL_20260708_MVT007_AGENT_ORCHESTRATION_LAYER.json","PRESERVE_IN_PLACE; immutable"
"_Tribunal_Inbox/TRIBUNAL_FAMILY_PRODUCT_LINE_VOW_GO_INTEGRATION_20260716_CHATGPT.md","2379","5F03BBBD92D40DD7591E668E9F396861A2CE5E6ADBFBD141F64821722CBEDB04","ARCHIVE","origin/main baseline","","TRIBUNAL_FAMILY_PRODUCT_LINE_VOW_GO_INTEGRATION_20260716_CHATGPT.md","_Tribunal_Inbox/TRIBUNAL_FAMILY_PRODUCT_LINE_VOW_GO_INTEGRATION_20260716_CHATGPT.md","PRESERVE; reference from convergence record; do not execute post-Gate-001"
"_Tribunal_Inbox/TRIBUNAL_SC_GEMINI_CONTEXT_BUGFIX_20260708_CHATGPT.md","2263","F69DA47E73575E3F86CF144D3B95DDE74C895D9A0E64880504694C9E14BE3DC9","ARCHIVE","origin/main baseline","","TRIBUNAL_SC_GEMINI_CONTEXT_BUGFIX_20260708_CHATGPT.md","_Tribunal_Inbox/TRIBUNAL_SC_GEMINI_CONTEXT_BUGFIX_20260708_CHATGPT.md","PRESERVE; reference from convergence record; do not execute post-Gate-001"
"_Tribunal_Inbox/TRIBUNAL_SC_GEMINI_HANDOFF_CORRECTION_20260708_CHATGPT.md","995","9DCEECAEDCEC602210628E9F2D04F4A737E4C46BA21F0C1FE0D1DE02EAEE72A3","ARCHIVE","origin/main baseline","","TRIBUNAL_SC_GEMINI_HANDOFF_CORRECTION_20260708_CHATGPT.md","_Tribunal_Inbox/TRIBUNAL_SC_GEMINI_HANDOFF_CORRECTION_20260708_CHATGPT.md","PRESERVE; reference from convergence record; do not execute post-Gate-001"
"_Tribunal_Inbox/TRIBUNAL_SC_WEBSITE_MEDIA_CLAUDECP_REVIEW_20260708_NATEBJONES.md","4128","1DFA04F6514DAFB185181F1A072FE70DD55E5E963E8CA2F811E6F12C37AFACFE","ARCHIVE","origin/main baseline","","TRIBUNAL_SC_WEBSITE_MEDIA_CLAUDECP_REVIEW_20260708_NATEBJONES.md","_Tribunal_Inbox/TRIBUNAL_SC_WEBSITE_MEDIA_CLAUDECP_REVIEW_20260708_NATEBJONES.md","PRESERVE; reference from convergence record; do not execute post-Gate-001"
